Order,Family,Genus,Apomixis_Yes_Uncertain,Apospory,Diplospory,Apospory_and_Diplospory,Adventitious_Embryony
Poales,Poaceae,Tripsacum,Y,,Y,,
Poales,Poaceae,Urochloa,Y,Y,,,
Ranunculales,Ranunculaceae,Ficaria,U,,,,
Ranunculales,Ranunculaceae,Ranunculus,Y,Y,,,
Rosales,Cannabaceae,Humulus,Y,,,,
Rosales,Rhamnaceae,Pomaderris,Y,,Y,,
Rosales,Rosaceae,Agrimonia,Y,Y,,,
Rosales,Rosaceae,Amelanchier,Y,Y,,,
Rosales,Rosaceae,Aphanes,Y,Y,,,
Rosales,Rosaceae,Cotoneaster,Y,Y,,,
Rosales,Rosaceae,Crataegus,Y,Y,Y,Y,
Rosales,Rosaceae,Parageum,Y,,Y,,
Rosales,Rosaceae,Photinia,Y,Y,,,
Rosales,Rosaceae,Rubus,Y,Y,Y,Y,
Rosales,Rosaceae,Sanguisorba,Y,Y,,,
Rosales,Rosaceae,Sorbopyrus,Y,Y,Y,Y,
Rosales,Urticaceae,Boehmeria,Y,,Y,,
Rosales,Urticaceae,Dorstenia,Y,,Y,,
Santalales,Balanophoraceae,Balanophora,Y,,Y,,
Sapindales,Rutaceae,Skimmia,Y,Y,,,
